code,item_code,quantity,product_name,variant_name,color,size
4185468204,30*30-4185468204,100,"يا رحيم",30*30,30*30,None
847534122,30*30-847534122,100,"لا إله إلا الله محمد رسول الله(شكل مربعين)",30*30,30*30,None
8578499830,30*30-8578499830,100,"يا رحمن",30*30,30*30,None
874230414,30*30-874230414,100,"لا إله إلا الله",30*30,30*30,None
485224877,30*60-485224877,100,"ماشاء الله (بشكل رأسي)",فيروزي/3XL,فيروزي,3XL
830506803,32*90-830506803,100,"خريطه فلسطين",32*90,32*90,None
0039937283,32cm-0039937283,100,"يا كريم",32cm,32cm,None
345678932,32cm*90cm,100,"palestine - 32cm*90cm",32cm*90cm,32cm*90cm,None
48957892470,35cm-48957892470,100,يارب,35cm,35cm,None
589405773,35cm-589405773,100,"يا ودود",35cm,35cm,None
454574720,3XL-454574720,94,"ترنج broklyn",3XL,3XL,None
501124848,3XL-501124848,122,"ترنج بلاكي",3XL,3XL,None
8322404,3XL-8322404,99,"ترنج black",3XL,3XL,None
887721056,3XL-887721056,92,"ترنج yourself",3XL,3XL,None
3945823,3XL/اخضر-3945823,82,"طقم jumpsuit",3XL/اخضر,3XL,اخضر
3945823,3XL/اسود-3945823,46,"طقم jumpsuit",3XL/اسود,3XL,اسود
3945823,3XL/بيج-3945823,61,"طقم jumpsuit",3XL/بيج,3XL,بيج
3945823,3XL/موكا-3945823,42,"طقم jumpsuit",3XL/موكا,3XL,موكا
4185468204,40*40-4185468204,100,"يا رحيم",40*40,40*40,None
847534122,40*40-847534122,100,"لا إله إلا الله محمد رسول الله(شكل مربعين)",40*40,40*40,None
8578499830,40*40-8578499830,100,"يا رحمن",40*40,40*40,None
874230414,40*40-874230414,100,"لا إله إلا الله",40*40,40*40,None
895437520,40*40-895437520,100,"يارزاق يا كريم",40*40,40*40,None
485224877,40*80-485224877,100,"ماشاء الله (بشكل رأسي)",عنابي/XL,عنابي,XL
4185468204,50*50-4185468204,100,"يا رحيم",50*50,50*50,None
847534122,50*50-847534122,100,"لا إله إلا الله محمد رسول الله(شكل مربعين)",50*50,50*50,None
8578499830,50*50-8578499830,100,"يا رحمن",50*50,50*50,None
874230414,50*50-874230414,100,"لا إله إلا الله",50*50,50*50,None
895437520,50*50-895437520,100,"يارزاق يا كريم",50*50,50*50,None
0039937283,55cm-0039937283,100,"يا كريم",55cm,55cm,None
48957892470,55cm-48957892470,100,يارب,55cm,55cm,None
589405773,55cm-589405773,100,"يا ودود",55cm,55cm,None
987895343512,70*60/black-987895343512,100,"ماشاء الله تبارك الله",2XL/بيج,2XL,بيج
987895343512,70*60/gold-987895343512,100,"ماشاء الله تبارك الله",3XL/موكا,3XL,موكا
987895343512,70*60/silver-987895343512,100,"ماشاء الله تبارك الله",3XL/اسود,3XL,اسود
0039937283,70cm-0039937283,100,"يا كريم",70cm,70cm,None
48957892470,70cm-48957892470,100,يارب,70cm,70cm,None
589405773,70cm-589405773,100,"يا ودود",70cm,70cm,None
987895343512,90*90/black-987895343512,100,"ماشاء الله تبارك الله",3XL/بيج,3XL,بيج
987895343512,90*90/gold-987895343512,100,"ماشاء الله تبارك الله",3XL/اخضر,3XL,اخضر
987895343512,90*90/silver-987895343512,100,"ماشاء الله تبارك الله",فيروزي/XL,فيروزي,XL
4477889221,black-4477889221,100,"سوره الفلق",black,black,None
002487832,black/20*80-002487832,100,"فبأي الاء ربكما تكذبان",black/20*80,black,20*80
5577889624,black/20*80-5577889624,100,"لا إله إلا الله محمد رسول الله(شكل مستطيل)",black/20*80,black,20*80
774411889322,black/20*80-774411889322,100,"بسم الله الرحمن الرحيم",black/20*80,black,20*80
87798105547,black/20*80-87798105547,100,"ماشاء الله لاقوه إلا بالله",black/20*80,black,20*80
89548957355,black/20*80-89548957355,100,"يارب بارك هذا البيت",black/20*80,black,20*80
002487832,black/30*120-002487832,100,"فبأي الاء ربكما تكذبان",black/30*120,black,30*120
5577889624,black/30*120-5577889624,100,"لا إله إلا الله محمد رسول الله(شكل مستطيل)",black/30*120,black,30*120
774411889322,black/30*120-774411889322,100,"بسم الله الرحمن الرحيم",black/30*120,black,30*120
87798105547,black/30*120-87798105547,100,"ماشاء الله لاقوه إلا بالله",black/30*120,black,30*120
89548957355,black/30*120-89548957355,100,"يارب بارك هذا البيت",black/30*120,black,30*120
3772022800,black/40*40-3772022800,100,"بسم الله الرحمن الرحيم 2",ذهبي,ذهبي,None
3772022800,black/50*50-3772022800,100,"بسم الله الرحمن الرحيم 2",اسود/A,اسود,A
3772022800,black/60*60-3772022800,100,"بسم الله الرحمن الرحيم 2",اسود/B,اسود,B
77822842,black/70*60-77822842,100,"سوره الفاتحه",لبني/XL,لبني,XL
3772022800,black/70*70-3772022800,100,"بسم الله الرحمن الرحيم 2",اسود/C,اسود,C
77822842,black/90*80-77822842,100,"سوره الفاتحه",لبني/2XL,لبني,2XL
4477889221,gold-4477889221,100,"سوره الفلق",Gold,Gold,None
7782244823,Gold-7782244823,100,"بسم الله والحمد لله",Gold,Gold,None
4477889221,gold*silver-4477889221,0,"سوره الفلق",عنابي/3XL,عنابي,3XL
002487832,gold/20*80-002487832,100,"فبأي الاء ربكما تكذبان",gold/20*80,gold,20*80
5577889624,gold/20*80-5577889624,100,"لا إله إلا الله محمد رسول الله(شكل مستطيل)",gold/20*80,gold,20*80
774411889322,gold/20*80-774411889322,100,"بسم الله الرحمن الرحيم",gold/20*80,gold,20*80
87798105547,gold/20*80-87798105547,100,"ماشاء الله لاقوه إلا بالله",gold/20*80,gold,20*80
89548957355,gold/20*80-89548957355,100,"يارب بارك هذا البيت",gold/20*80,gold,20*80
002487832,gold/30*120-002487832,100,"فبأي الاء ربكما تكذبان",gold/30*120,gold,30*120
5577889624,gold/30*120-5577889624,100,"لا إله إلا الله محمد رسول الله(شكل مستطيل)",gold/30*120,gold,30*120
774411889322,gold/30*120-774411889322,100,"بسم الله الرحمن الرحيم",gold/30*120,gold,30*120
87798105547,gold/30*120-87798105547,100,"ماشاء الله لاقوه إلا بالله",gold/30*120,gold,30*120
89548957355,gold/30*120-89548957355,100,"يارب بارك هذا البيت",gold/30*120,gold,30*120
3772022800,gold/40*40-3772022800,100,"بسم الله الرحمن الرحيم 2",تفاحي/B,تفاحي,B
3772022800,gold/50*50-3772022800,100,"بسم الله الرحمن الرحيم 2",تفاحي/C,تفاحي,C
3772022800,gold/60*60-3772022800,100,"بسم الله الرحمن الرحيم 2",زيتي/A,زيتي,A
77822842,gold/70*60-77822842,100,"سوره الفاتحه",لبني/3XL,لبني,3XL
3772022800,gold/70*70-3772022800,100,"بسم الله الرحمن الرحيم 2",زيتي/B,زيتي,B
77822842,gold/90*80-77822842,100,"سوره الفاتحه",رمادي/1XL,رمادي,1XL
34567654,"hot _kiss-34567654",100,خمره,"hot _kiss","hot _kiss",None
34567654,hot_baby-34567654,100,خمره,hot_baby,hot_baby,None
34567654,sexy_night-34567654,100,خمره,sexy_night,sexy_night,None
4477889221,silver-4477889221,100,"سوره الفلق",عنابي/2XL,عنابي,2XL
7782244823,silver-7782244823,100,"بسم الله والحمد لله",عنابي/2XL,عنابي,2XL
002487832,silver/20*80-002487832,100,"فبأي الاء ربكما تكذبان",silver/20*80,silver,20*80
5577889624,silver/20*80-5577889624,100,"لا إله إلا الله محمد رسول الله(شكل مستطيل)",silver/20*80,silver,20*80
774411889322,silver/20*80-774411889322,100,"بسم الله الرحمن الرحيم",silver/20*80,silver,20*80
